#{"t_start": 1720222829.1774597, "env_id": "None"}
r,l,t
45323.255869,1580,31.456515
-71458.258066,1580,59.16379
700195.060022,1580,90.184562
38960.282284,1580,125.651683
471605.05858,1580,151.580416
401448.78543,1580,179.929571
-184475.554116,1580,214.477712
163933.742352,1580,242.507294
-301064.132226,1580,266.586527
-238825.466572,1580,291.172134
-258640.752473,1580,313.872698
158326.886351,1580,341.651256
-199761.551497,1580,369.887473
285855.09712,1580,397.39703
356854.08554,1580,434.885094
-269906.366183,1580,462.594531
147564.859362,1580,484.837472
254400.479657,1580,510.115268
146489.034138,1580,534.577102
368770.572186,1580,556.505326
620862.244373,1580,580.537395
32653.228867,1580,605.044208
323466.136927,1580,628.533536
483347.912936,1580,657.902386
119997.175432,1580,683.942589
124980.829487,1580,708.786746
431304.13932,1580,740.005677
705012.333496,1580,766.874552
144266.487273,1580,793.875624
-121091.386987,1580,826.439782
392617.750574,1580,850.76403
627040.305753,1580,874.649411
393427.902729,1580,901.810485
1629225.874503,1580,925.618121
528143.182916,1580,950.04925
515997.570324,1580,978.562181
351110.575574,1580,1003.280401
1050211.345637,1580,1031.311841
217086.428927,1580,1060.978493
453816.23211,1580,1085.175293
252930.278692,1580,1111.442244
1071646.722036,1580,1144.338944
635454.719489,1580,1168.69704
939892.560685,1580,1194.928102
1331113.834566,1580,1219.003306
390852.464116,1580,1243.4181
514775.688606,1580,1271.439167
751015.58444,1580,1301.766613
370153.716005,1580,1329.486003
-678.383345,1580,1357.058624
503846.96357,1580,1384.537257
640330.664243,1580,1407.483542
1645072.553292,1580,1433.0561
22834.16402,1580,1459.051891
382940.413251,1580,1482.661134
607800.814484,1580,1511.451822
797996.673241,1580,1536.567511
476825.490213,1580,1562.027192
882840.399018,1580,1588.913737
1855091.12032,1580,1620.075511
463916.650461,1580,1646.177221
332985.278085,1580,1675.656358
1349181.308413,1580,1700.99212
758285.540407,1580,1725.923954
409133.118627,1580,1752.278579
671229.902989,1580,1777.169806
624536.353511,1580,1804.539966
1713571.917479,1580,1832.942176
844053.589674,1580,1861.623137
4594598.660126,1580,1887.57497
1026535.957235,1580,1915.193232
594086.654404,1580,1939.478015
1942246.361425,1580,1966.186482
2867455.022698,1580,1996.058831
576754.801399,1580,2019.39752
629762.009977,1580,2046.084201
2626328.45894,1580,2070.84334
4345250.086655,1580,2094.142614
595124.027873,1580,2119.7523
262585.960496,1580,2148.561439
428499.319041,1580,2177.027473
1699116.48918,1580,2210.543498
3878650.047559,1580,2248.364012
1059349.869583,1580,2281.589521
707773.357775,1580,2315.668358
505617.545614,1580,2347.211884
2484833.231922,1580,2376.111202
920339.915149,1580,2404.967466
829891.750477,1580,2431.766009
1588479.69458,1580,2464.617908
1320216.565716,1580,2503.48067
1217112.977639,1580,2538.168762
3345068.002914,1580,2563.929804
301217.30106,1580,2593.061487
968954.664175,1580,2620.703101
2137231.390509,1580,2645.621724
1306757.80823,1580,2675.077807
830945.287327,1580,2700.629446
719923.962379,1580,2727.457564
1877991.29278,1580,2755.634783
3799818.90765,1580,2780.954568
1351383.117176,1580,2807.723017
634513.687342,1580,2834.532696
1385726.521433,1580,2859.649333
819202.976442,1580,2886.369421
1813552.989874,1580,2915.213216
478851.698868,1580,2940.26302
362105.010633,1580,2967.675322
1082775.084331,1580,2995.412149
1050150.441172,1580,3020.594409
1453251.960114,1580,3049.276298
1687271.599286,1580,3077.476648
750870.471698,1580,3102.317903
257445.758336,1580,3129.301717
2135937.619847,1580,3156.202962
734382.752039,1580,3186.364068
1382329.987835,1580,3219.571337
1543064.990099,1580,3250.595594
1604612.316434,1580,3278.618047
1567048.78383,1580,3307.177886
1405115.874551,1580,3334.956798
1815381.218722,1580,3360.987763
1102467.133587,1580,3389.968657
1131296.125816,1580,3416.127252
1800663.445588,1580,3441.408662
798712.701365,1580,3470.941202
1375861.048704,1580,3497.215714
1968041.576161,1580,3519.094966
4956224.533744,1580,3540.913116
635075.699311,1580,3560.747481
582125.769541,1580,3581.672734
367808.888154,1580,3603.140396
2034273.356884,1580,3623.309837
1226336.909563,1580,3645.116495
676757.934097,1580,3666.556303
391945.555557,1580,3686.276317
879769.397874,1580,3707.611191
934820.885247,1580,3728.552859
524654.307445,1580,3748.097231
780555.532435,1580,3769.764993
3450423.082891,1580,3790.974416
2061468.617876,1580,3810.627481
1357028.064633,1580,3832.089483
831703.235112,1580,3853.683228
1285075.797616,1580,3874.04338
1908321.892348,1580,3896.269155
1495843.518526,1580,3916.76627
2556368.268945,1580,3938.009255
1047767.557747,1580,3960.234306
4795589.753366,1580,3980.500458
1359311.927302,1580,4000.806374
654546.190751,1580,4023.214794
2860036.344225,1580,4044.48667
526819.663891,1580,4064.202978
2569860.135634,1580,4086.077803
1067422.239693,1580,4106.701159
1329518.396417,1580,4127.040007
2265759.232398,1580,4149.156673
2034644.893471,1580,4169.798484
1270772.671025,1580,4190.963083
841990.633237,1580,4213.150567
4229271.828929,1580,4233.228035
1211826.297673,1580,4254.417306
1515900.236655,1580,4275.796235
3067909.831065,1580,4295.882359
1005543.977527,1580,4318.835182
2551020.152343,1580,4340.375136
780235.861338,1580,4360.131512
1549994.173204,1580,4381.271739
1075303.937056,1580,4402.601254
2442577.439828,1580,4422.76421
896266.945216,1580,4443.753015
1000056.648814,1580,4464.453356
1382283.450462,1580,4484.342848
4772119.019865,1580,4505.650809
1038639.437053,1580,4527.018044
643298.487672,1580,4552.232578
1416823.819834,1580,4573.740114
